run_id,measured_at,language,benchmark,cpu_carbon_rapl_msr_component-package_0-ug,cpu_energy_rapl_msr_component-package_0-uj,disk_total_read_cgroup_container-c_container-bytes,disk_total_read_cgroup_container-cpp_container-bytes,disk_total_read_cgroup_container-csharp_container-bytes,disk_total_read_cgroup_container-dart_container-bytes,disk_total_read_cgroup_container-erlang_container-bytes,disk_total_read_cgroup_container-fsharp_container-bytes,disk_total_read_cgroup_container-go_container-bytes,disk_total_read_cgroup_container-haskell_container-bytes,disk_total_read_cgroup_container-java_container-bytes,disk_total_read_cgroup_container-lua_container-bytes,disk_total_read_cgroup_container-node_container-bytes,disk_total_read_cgroup_container-ocaml_container-bytes,disk_total_read_cgroup_container-perl_container-bytes,disk_total_read_cgroup_container-php_container-bytes,disk_total_read_cgroup_container-python_container-bytes,disk_total_read_cgroup_container-ruby_container-bytes,disk_total_read_cgroup_container-rust_container-bytes,disk_total_read_cgroup_container-swift_container-bytes,disk_total_write_cgroup_container-c_container-bytes,disk_total_write_cgroup_container-cpp_container-bytes,disk_total_write_cgroup_container-csharp_container-bytes,disk_total_write_cgroup_container-dart_container-bytes,disk_total_write_cgroup_container-erlang_container-bytes,disk_total_write_cgroup_container-fsharp_container-bytes,disk_total_write_cgroup_container-go_container-bytes,disk_total_write_cgroup_container-haskell_container-bytes,disk_total_write_cgroup_container-java_container-bytes,disk_total_write_cgroup_container-lua_container-bytes,disk_total_write_cgroup_container-node_container-bytes,disk_total_write_cgroup_container-ocaml_container-bytes,disk_total_write_cgroup_container-perl_container-bytes,disk_total_write_cgroup_container-php_container-bytes,disk_total_write_cgroup_container-python_container-bytes,disk_total_write_cgroup_container-ruby_container-bytes,disk_total_write_cgroup_container-rust_container-bytes,disk_total_write_cgroup_container-swift_container-bytes,embodied_carbon_share_machine-system-ug,memory_carbon_rapl_msr_component-dram_0-ug,memory_energy_rapl_msr_component-dram_0-uj,network_carbon_formula_global-formula-ug,network_energy_formula_global-formula-uj,network_power_formula_global-formula-mw,network_total_cgroup_container-c_container-bytes,network_total_cgroup_container-cpp_container-bytes,network_total_cgroup_container-csharp_container-bytes,network_total_cgroup_container-dart_container-bytes,network_total_cgroup_container-erlang_container-bytes,network_total_cgroup_container-fsharp_container-bytes,network_total_cgroup_container-go_container-bytes,network_total_cgroup_container-haskell_container-bytes,network_total_cgroup_container-java_container-bytes,network_total_cgroup_container-lua_container-bytes,network_total_cgroup_container-node_container-bytes,network_total_cgroup_container-ocaml_container-bytes,network_total_cgroup_container-perl_container-bytes,network_total_cgroup_container-php_container-bytes,network_total_cgroup_container-python_container-bytes,network_total_cgroup_container-ruby_container-bytes,network_total_cgroup_container-rust_container-bytes,network_total_cgroup_container-swift_container-bytes,phase_time_syscall_system-system-us
989c6fc0-5435-4ca4-8528-f21ac89271f1,2026-05-14 20:59:43,swift,mandelbrot,4170,44945610,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,2124,62,668388,0,0,0,,,,,,,,,,,,,,,,,,0,1480019
4538340c-c672-4aa2-b5a1-ba84c76262b8,2026-05-14 20:56:52,swift,fasta,5086,54821890,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,3740,196,2109971,0,0,0,,,,,,,,,,,,,,,,,,0,2606316
4f7f4c54-24b9-4518-993e-cd783f6abc9a,2026-05-14 20:53:49,swift,spectral-norm,1575,16976926,,,,,,,,,,,,,,,,,,131072,,,,,,,,,,,,,,,,,,0,850,20,220762,0,0,0,,,,,,,,,,,,,,,,,,0,592734
46feefb1-a5d7-4816-a2ec-0d2b354bf18f,2026-05-14 20:48:03,swift,n-body,5170,55724652,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,5026,98,1056386,0,0,0,,,,,,,,,,,,,,,,,,0,3503027
62b9e3a4-9f56-4d9e-9df1-46d9c0dd87fc,2026-05-14 20:42:30,swift,fannkuch-redux,21970,236799712,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,8858,169,1825421,0,0,0,,,,,,,,,,,,,,,,,,0,6173401
4b0630ea-f73c-4743-a141-cf2f5411d9ba,2026-05-14 20:39:42,swift,binary-trees,38204,411774647,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,20609,1203,12968370,0,0,0,,,,,,,,,,,,,,,,,,0,14363166
1104d19c-a316-4d66-b13d-d3f8672a6aec,2026-05-14 20:36:42,swift,mandelbrot,4134,44554132,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,2081,58,623099,0,0,0,,,,,,,,,,,,,,,,,,0,1450307
713f0d86-e5f7-4328-8528-8718a8dfa2cf,2026-05-14 20:33:50,swift,fasta,5128,55267869,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,3725,197,2119737,0,0,0,,,,,,,,,,,,,,,,,,0,2595717
3f784889-4eb8-40da-989c-f6f4f3e158e4,2026-05-14 20:30:45,swift,spectral-norm,1559,16798580,,,,,,,,,,,,,,,,,,131072,,,,,,,,,,,,,,,,,,0,854,19,201535,0,0,0,,,,,,,,,,,,,,,,,,0,595517
3b56a20b-5676-421b-b5c2-9a7be3ea16ed,2026-05-14 20:25:06,swift,n-body,5145,55452070,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,5060,100,1074148,0,0,0,,,,,,,,,,,,,,,,,,0,3526200
5fd3f293-78d6-4af1-82c2-6c83a9090280,2026-05-14 20:19:36,swift,fannkuch-redux,21996,237077303,,,,,,,,,,,,,,,,,,0,,,,,,,,,,,,,,,,,,0,8864,170,1827558,0,0,0,,,,,,,,,,,,,,,,,,0,6177486
